"Country or Area","Year","Value","Value Footnotes","Unit"
"Albania","2017","17.0","1","%"
"Albania","2016","16.0","1","%"
"Albania","2015","19.0","1","%"
"Albania","2014","21.0","1","%"
"Algeria","2017","72.0","","%"
"Algeria","2016","68.0","","%"
"Algeria","2015","65.0","","%"
"Algeria","2014","65.0","","%"
"Algeria","2013","65.0","","%"
"Algeria","2012","65.0","","%"
"Algeria","2011","61.0","","%"
"Algeria","2010","60.0","","%"
"Algeria","2009","56.0","","%"
"Algeria","2008","53.0","","%"
"Algeria","2007","48.0","","%"
"Algeria","2006","45.0","","%"
"Algeria","2005","39.0","","%"
"Algeria","2004","39.0","","%"
"Algeria","2003","32.0","","%"
"Algeria","2002","32.0","","%"
"Algeria","2001","30.0","","%"
"Algeria","2000","30.0","","%"
"Andorra","2019","100.0","","%"
"Andorra","2018","100.0","","%"
"Andorra","2017","100.0","","%"
"Andorra","2016","100.0","","%"
"Andorra","2015","100.0","","%"
"Andorra","2014","100.0","","%"
"Andorra","2013","100.0","","%"
"Andorra","2012","100.0","","%"
"Andorra","2011","100.0","","%"
"Andorra","2010","98.0","","%"
"Andorra","2009","98.0","","%"
"Andorra","2008","98.0","","%"
"Andorra","2007","98.0","","%"
"Andorra","2006","86.4","","%"
"Andorra","2005","47.7","","%"
"Andorra","2004","31.1","","%"
"Andorra","2003","19.6","","%"
"Andorra","2002","17.1","","%"
"Andorra","2001","3.5","","%"
"Andorra","2000","3.6","","%"
"Andorra","1999","3.7","","%"
"Angola","2011","17.8","","%"
"Antigua and Barbuda","2001","0.6","","%"
"Argentina","2019","55.0","","%"
"Argentina","2010","50.2","","%"
"Argentina","2001","42.5","","%"
"Armenia","2021","42.9","","%"
"Armenia","2020","41.1","","%"
"Armenia","2019","34.9","","%"
"Armenia","2018","44.1","","%"
"Armenia","2017","38.3","","%"
"Armenia","2016","38.1","","%"
"Armenia","2015","38.0","","%"
"Armenia","2014","37.1","","%"
"Armenia","2013","37.1","","%"
"Armenia","2012","37.8","","%"
"Armenia","2011","38.6","","%"
"Armenia","2010","38.2","","%"
"Armenia","2009","38.0","","%"
"Armenia","2008","36.5","","%"
"Armenia","2007","36.5","","%"
"Armenia","2006","35.9","","%"
